,0,1,2,3,4,5,6,7,8,9
606,x,x,o,o,x,b,b,o,x,positive
607,x,x,x,x,o,o,o,o,x,positive
608,x,b,x,o,x,o,x,b,o,positive
609,o,o,o,b,x,x,x,x,o,negative
610,x,b,o,b,x,o,x,b,o,negative
611,b,o,x,o,x,b,x,b,b,positive
612,x,x,o,b,o,b,o,x,b,negative
613,x,b,o,x,o,x,o,b,b,negative
614,o,o,o,x,x,b,b,b,x,negative
615,o,x,o,x,x,o,x,o,x,negative
616,x,b,x,o,o,x,b,o,x,positive
617,x,o,o,x,x,b,b,o,x,positive
618,x,b,o,x,x,b,x,o,o,positive
619,b,b,o,b,x,o,x,x,o,negative
620,o,x,x,x,o,o,b,x,o,negative
621,x,x,b,o,o,o,x,b,b,negative
622,x,b,o,x,o,x,o,x,o,negative
623,x,b,o,b,o,x,o,x,b,negative
624,x,o,o,x,o,b,o,x,x,negative
625,b,o,b,x,o,o,x,x,x,positive
626,x,b,x,o,x,o,o,b,x,positive
627,x,x,o,x,o,o,o,b,x,negative
628,x,o,x,x,o,b,x,b,o,positive
629,x,b,o,b,x,o,x,o,x,positive
630,b,b,x,o,x,x,o,o,x,positive
631,x,o,o,x,b,b,x,x,o,positive
632,x,x,o,o,o,x,o,b,x,negative
633,x,o,b,o,b,o,x,x,x,positive
634,x,o,x,b,o,x,b,o,b,negative
635,x,x,x,o,o,b,b,o,x,positive
636,o,o,x,x,x,x,o,o,x,positive
637,o,o,x,o,x,b,x,b,x,positive
638,x,b,x,o,o,o,x,b,b,negative
639,b,b,b,o,o,b,x,x,x,positive
640,o,x,b,b,x,x,o,x,o,positive
641,x,x,x,b,o,b,b,o,b,positive
642,o,b,x,o,x,b,x,x,o,positive
643,o,x,b,x,o,x,b,b,o,negative
644,o,o,x,o,b,b,x,x,x,positive
645,x,b,x,x,b,b,o,o,o,negative
646,o,x,x,o,o,x,x,o,x,positive
647,b,x,b,b,x,x,o,o,o,negative
648,b,b,b,o,b,o,x,x,x,positive
649,x,b,o,x,b,o,x,o,x,positive
650,o,o,o,x,b,b,b,x,x,negative
651,x,x,x,o,o,b,b,x,o,positive
652,x,x,o,b,x,o,o,b,x,positive
653,b,x,o,x,o,o,o,x,x,negative
654,x,o,o,b,x,x,o,b,x,positive
655,x,x,o,x,x,o,o,b,o,negative
656,x,x,x,b,o,b,o,x,o,positive
657,x,o,b,x,o,b,x,x,o,positive
658,o,o,x,b,x,x,x,b,o,positive
659,x,x,o,b,o,x,o,b,b,negative
660,o,b,b,o,x,x,o,x,b,negative
661,b,b,x,o,o,x,x,o,x,positive
662,o,b,b,o,o,x,x,x,x,positive
663,o,o,o,x,o,x,x,x,b,negative
664,x,b,b,o,x,x,o,o,x,positive
665,o,x,b,o,o,b,x,x,x,positive
666,x,b,x,b,x,o,x,o,o,positive
667,x,o,o,x,o,x,x,x,o,positive
668,b,b,x,b,x,x,o,o,o,negative
669,x,b,b,x,b,o,x,o,b,positive
670,x,b,b,b,x,x,o,o,o,negative
671,x,b,x,o,o,x,o,b,x,positive
672,x,b,x,o,x,x,o,o,o,negative
673,o,x,b,o,o,x,o,x,x,negative
674,x,o,x,o,x,o,o,x,x,positive
675,b,x,x,x,o,x,o,o,o,negative
676,x,o,b,x,x,x,b,o,o,positive
677,x,x,x,x,b,o,b,o,o,positive
678,o,o,b,x,o,b,x,x,x,positive
679,x,b,b,o,o,o,x,x,b,negative
680,x,x,o,o,x,o,o,x,x,positive
681,o,x,b,x,o,x,x,o,o,negative
682,b,o,x,x,x,x,o,o,b,positive
683,b,o,x,b,o,x,x,o,b,negative
684,o,o,o,x,b,x,b,x,b,negative
685,x,o,o,x,x,b,o,b,x,positive
686,b,o,x,b,x,x,x,o,o,positive
687,x,b,o,x,o,x,x,b,o,positive
688,o,x,x,o,b,x,o,b,b,negative
689,x,o,o,b,x,b,o,x,x,positive
690,o,x,x,b,x,b,o,x,o,positive
691,b,x,o,o,x,b,x,x,o,positive
692,o,o,b,x,o,x,x,o,x,negative
693,x,b,b,o,x,o,b,b,x,positive
694,x,x,x,b,b,o,x,o,o,positive
695,x,o,b,x,x,o,x,b,o,positive
696,x,b,o,o,o,x,o,x,x,negative
697,b,o,b,o,b,b,x,x,x,positive
698,x,o,b,o,x,x,b,o,x,positive
699,b,x,o,b,o,b,o,x,x,negative
700,x,o,b,b,x,o,o,x,x,positive
701,b,o,x,x,o,x,b,o,b,negative
702,x,b,b,x,b,o,x,b,o,positive
703,x,o,x,b,b,x,o,o,x,positive
704,o,o,o,o,x,x,b,x,x,negative
705,o,x,b,o,x,b,b,x,b,positive
706,o,o,x,o,b,x,b,x,x,positive
707,b,b,x,x,b,x,o,o,o,negative
708,x,o,o,x,o,x,x,b,b,positive
709,o,o,o,x,b,x,o,x,x,negative
710,o,o,o,b,x,x,b,b,x,negative
711,x,o,x,o,x,b,x,b,o,positive
712,b,o,x,o,x,o,x,b,x,positive
713,x,o,x,b,x,b,x,o,o,positive
714,o,o,x,b,x,b,x,o,x,positive
715,b,o,b,x,o,x,x,o,b,negative
716,b,x,b,o,x,b,o,x,b,positive
717,x,o,o,o,x,o,x,x,x,positive
718,b,b,o,x,x,x,o,b,b,positive
719,o,o,o,b,x,b,x,x,b,negative
720,x,x,b,o,o,o,x,o,x,negative
721,x,o,b,o,x,b,x,o,x,positive
722,x,b,o,x,o,b,x,o,x,positive
723,x,b,o,x,o,o,o,x,x,negative
724,b,o,x,o,x,x,o,b,x,positive
725,x,x,x,o,b,o,b,x,o,positive
726,x,x,x,b,x,o,o,b,o,positive
727,b,o,x,b,x,o,x,x,o,positive
728,x,x,x,o,b,b,o,x,o,positive
729,x,x,o,b,x,b,o,x,o,positive
730,x,o,b,b,x,o,x,o,x,positive
731,o,o,x,x,o,x,x,b,o,negative
732,x,x,o,b,x,b,o,o,x,positive
733,b,b,x,o,b,x,o,b,x,positive
734,x,x,o,x,b,o,b,b,o,negative
735,x,o,o,o,x,x,x,o,x,positive
736,x,x,x,o,x,o,o,x,o,positive
737,x,x,b,o,x,b,o,o,x,positive
738,x,x,x,o,x,b,o,o,b,positive
739,x,x,x,o,o,b,b,b,b,positive
740,o,b,b,x,o,b,x,x,o,negative
741,x,b,o,x,o,x,x,o,b,positive
742,x,b,o,o,x,b,b,b,x,positive
743,x,x,o,o,x,o,x,b,o,negative
744,o,b,x,o,b,o,x,x,x,positive
745,x,b,o,o,x,o,x,x,o,negative
746,x,b,x,o,o,o,x,x,o,negative
747,x,x,x,b,o,x,o,b,o,positive
748,x,x,b,b,x,o,o,x,o,positive
749,x,o,b,b,x,o,b,b,x,positive
750,o,b,o,x,x,o,x,x,o,negative
751,x,x,x,o,b,o,b,o,x,positive
752,x,x,x,o,b,o,x,b,o,positive
753,x,x,x,o,b,o,o,b,x,positive
754,b,x,b,o,x,o,b,x,b,positive
755,o,x,b,b,x,o,b,x,b,positive
756,o,x,x,o,b,x,o,x,o,negative
757,b,o,x,o,x,o,x,x,b,positive
758,b,b,o,x,x,x,x,o,o,positive
759,o,o,o,x,b,b,x,x,b,negative
760,b,x,o,b,x,o,b,x,b,positive
761,x,o,x,x,x,b,o,o,o,negative
762,o,b,x,b,o,x,x,b,o,negative
763,b,o,x,x,x,x,b,o,o,positive
764,b,b,o,x,o,x,o,b,x,negative
765,b,o,o,x,x,x,x,b,o,positive
766,b,b,x,o,x,b,x,b,o,positive
767,o,o,x,b,o,x,b,x,x,positive
768,o,o,b,x,x,x,o,b,x,positive
769,x,x,o,o,x,x,x,o,o,negative
770,x,b,o,x,x,b,o,o,x,positive
771,b,o,o,x,x,x,o,x,b,positive
772,x,x,o,x,o,x,o,b,o,negative
773,o,o,o,x,x,o,x,b,x,negative
774,x,x,o,b,b,o,b,x,o,negative
775,o,b,o,x,x,x,o,b,x,positive
776,b,x,b,o,x,x,o,x,o,positive
777,x,x,o,x,o,o,b,x,o,negative
778,b,x,x,o,x,o,b,x,o,positive
779,o,b,o,x,x,x,o,x,b,positive
780,o,b,x,b,x,x,x,o,o,positive
781,x,o,x,o,x,x,o,x,o,negative
782,o,x,b,b,x,b,b,x,o,positive
783,o,o,x,o,x,x,x,x,o,positive
784,x,b,b,x,b,b,x,o,o,positive
785,b,o,x,o,b,x,x,o,x,positive
786,o,o,x,o,x,x,x,b,b,positive
787,x,o,x,b,x,o,x,b,o,positive
788,x,x,o,b,o,x,o,x,o,negative
789,x,x,x,o,o,x,x,o,o,positive
790,o,o,x,b,o,b,x,x,x,positive
791,x,x,x,o,x,o,o,b,b,positive
792,o,x,b,x,x,x,o,o,b,positive
793,o,o,o,x,o,x,x,b,x,negative
794,b,o,o,o,b,x,x,x,x,positive
795,x,b,x,b,x,b,o,o,o,negative
796,b,x,o,b,x,o,x,b,o,negative
797,o,b,x,b,o,x,x,o,x,positive
798,x,x,x,o,x,o,o,o,x,positive
799,x,x,x,b,o,o,x,o,b,positive
800,x,o,x,o,x,x,x,o,o,positive
801,o,x,o,x,x,x,o,o,x,positive
802,x,x,o,o,o,x,x,o,x,negative
803,o,o,x,x,o,x,o,x,x,positive
804,o,o,x,o,x,b,o,x,x,negative
805,b,x,o,x,o,b,o,b,x,negative
806,o,x,x,x,o,x,o,b,o,negative
807,o,o,x,x,x,x,x,o,o,positive
808,x,x,x,o,b,b,o,b,b,positive
809,o,o,x,o,x,x,o,x,b,negative
810,o,b,b,x,x,x,b,o,b,positive
811,o,x,x,x,o,b,x,o,o,negative
812,o,x,x,x,b,x,o,o,o,negative
813,o,x,x,b,o,b,x,b,o,negative
814,x,x,x,o,o,x,b,o,b,positive
815,o,x,o,x,x,x,o,b,b,positive
816,x,x,b,o,o,o,o,x,x,negative
817,b,o,x,o,b,x,b,b,x,positive
818,b,b,x,x,x,o,x,o,o,positive
819,b,x,o,o,x,x,b,x,o,positive
820,x,o,x,o,b,x,o,b,x,positive
821,x,o,o,b,b,o,x,x,x,positive
822,x,o,o,x,b,x,x,b,o,positive
823,x,x,o,x,o,b,o,x,o,negative
824,x,x,x,o,o,b,o,b,x,positive
825,o,o,x,x,x,b,x,o,b,positive
826,x,x,o,x,o,b,x,b,o,positive
827,o,x,b,x,o,x,o,x,o,negative
828,o,x,o,o,x,o,x,x,x,positive
829,x,x,o,x,o,b,o,o,x,negative
830,x,x,o,o,o,o,b,x,x,negative
831,o,o,b,b,b,b,x,x,x,positive
832,b,o,x,o,b,x,o,x,x,positive
833,x,o,b,x,x,o,o,b,x,positive
834,x,x,b,o,x,o,o,x,b,positive
835,x,o,o,x,o,x,o,b,x,negative
836,x,x,o,b,o,x,o,o,x,negative
837,x,b,x,o,o,o,x,o,x,negative
838,x,x,x,o,b,b,b,o,b,positive
839,x,o,o,x,o,b,x,x,b,positive
840,o,x,b,o,x,x,o,b,b,negative
841,x,b,o,x,o,b,x,b,b,positive
842,x,x,x,b,o,b,o,b,b,positive
843,b,o,x,x,o,b,x,o,b,negative
844,b,b,o,o,x,o,x,x,x,positive
845,o,b,o,b,o,x,x,x,x,positive
846,o,x,x,o,b,b,o,b,x,negative
847,b,x,b,b,x,b,o,x,o,positive
848,x,o,o,x,x,o,x,o,x,positive
849,b,x,o,x,x,b,o,x,o,positive
850,o,b,x,x,o,x,b,o,x,positive
851,b,x,x,b,x,o,x,o,o,positive
852,o,o,b,x,x,x,o,x,b,positive
853,o,b,x,o,o,x,x,b,x,positive
854,o,x,o,o,x,b,x,x,b,positive
855,x,o,o,x,o,x,b,o,x,negative
856,x,x,x,o,o,b,x,o,b,positive
857,b,b,o,b,o,b,x,x,x,positive
858,o,b,b,o,b,x,o,x,x,negative
859,b,o,o,x,o,b,x,x,x,positive
860,b,x,b,o,o,o,x,x,b,negative
861,o,x,x,b,o,x,b,o,x,positive
862,b,o,o,x,x,x,x,o,b,positive
863,x,o,b,o,x,b,b,b,x,positive
864,x,o,x,o,x,b,b,o,x,positive
865,o,x,x,o,o,o,x,x,b,negative
866,o,b,o,o,x,b,x,x,x,positive
867,o,o,b,x,x,x,x,b,o,positive
868,o,x,b,b,x,o,o,x,x,positive
869,o,b,o,x,x,x,b,b,b,positive
870,x,x,o,o,x,b,o,b,x,positive
871,x,o,b,b,x,b,o,b,x,positive
872,b,o,x,x,x,x,o,b,o,positive
873,b,b,o,x,x,x,b,b,o,positive
874,b,o,o,x,x,x,b,b,b,positive
875,x,o,o,x,x,x,o,x,o,positive
876,o,x,o,b,x,x,b,x,o,positive
877,x,o,b,x,x,b,x,o,o,positive
878,x,x,x,b,b,o,o,x,o,positive
879,x,x,x,o,b,b,b,b,o,positive
880,x,o,x,b,o,x,o,b,x,positive
881,b,x,x,o,o,o,x,b,b,negative
882,o,x,x,o,o,o,x,b,x,negative
883,x,x,x,o,x,o,b,b,o,positive
884,x,b,o,x,o,x,o,o,x,negative
885,x,b,b,b,x,o,o,b,x,positive
886,x,x,x,o,o,b,x,b,o,positive
887,b,x,x,o,o,o,x,o,x,negative
888,o,x,o,x,x,x,b,o,b,positive
889,x,b,b,b,x,o,b,o,x,positive
890,b,x,x,x,x,o,o,o,o,negative
891,o,b,o,x,x,x,b,o,x,positive
892,o,x,b,x,o,b,b,x,o,negative
893,x,x,x,b,o,o,b,b,b,positive
894,o,b,b,o,b,b,x,x,x,positive
895,x,o,x,x,o,o,x,b,b,positive
896,o,o,x,o,x,x,x,o,x,positive
897,b,x,b,x,x,o,o,x,o,positive
898,o,x,x,o,b,b,o,x,b,negative
899,o,x,x,b,o,x,o,b,x,positive
900,b,b,x,o,o,o,b,x,x,negative
901,b,x,o,x,o,x,o,b,b,negative
902,b,o,x,o,o,b,x,x,x,positive
903,x,o,x,x,b,o,x,b,o,positive
904,x,b,o,b,x,x,o,o,x,positive
905,x,o,o,x,x,b,x,o,b,positive
906,o,x,o,o,x,x,b,x,b,positive
907,b,o,o,x,o,x,x,o,x,negative
908,x,b,o,b,o,b,o,x,x,negative
909,x,x,x,x,o,o,o,b,b,positive
910,x,o,o,x,o,b,x,b,x,positive
911,x,x,o,o,o,o,x,b,x,negative
912,o,o,x,x,x,x,b,o,b,positive
913,b,o,x,b,x,o,x,o,x,positive
914,x,b,b,x,o,b,x,b,o,positive
915,o,b,x,b,o,x,o,x,x,positive
916,o,b,o,x,x,x,b,x,o,positive
917,o,b,b,o,x,x,o,b,x,negative
918,o,o,x,b,o,x,x,x,o,negative
919,x,o,b,x,b,x,x,o,o,positive
920,o,x,x,o,o,x,o,x,b,negative
921,o,x,x,o,o,x,b,b,x,positive
922,b,o,b,x,x,x,o,o,x,positive
923,o,x,o,b,b,o,x,x,x,positive
924,x,b,o,x,b,o,b,x,o,negative
925,x,x,o,x,x,o,o,o,x,positive
926,x,x,o,x,x,o,b,o,o,negative
927,b,x,o,x,x,o,o,x,b,positive
928,o,x,x,x,o,o,x,o,x,negative
929,x,x,x,b,b,b,o,b,o,positive
930,x,x,o,o,o,b,o,x,x,negative
931,b,o,x,x,x,o,x,o,b,positive
932,o,x,o,o,b,x,o,x,x,negative
933,x,o,b,x,b,o,x,b,b,positive
934,b,o,x,b,b,x,o,b,x,positive
935,o,o,x,b,b,x,x,o,x,positive
936,o,o,o,x,b,b,x,b,x,negative
937,o,o,o,x,x,b,o,x,x,negative
938,x,x,o,x,o,b,o,b,b,negative
939,o,o,b,b,o,x,x,x,x,positive
940,b,o,o,x,x,x,o,b,x,positive
941,x,o,b,o,x,x,o,b,x,positive
942,x,x,b,x,o,x,o,o,o,negative
943,b,o,x,o,b,o,x,x,x,positive
944,x,o,x,o,o,x,x,o,b,negative
945,x,x,b,o,x,x,o,o,o,negative
946,x,o,o,o,x,b,x,b,x,positive
947,x,o,x,o,o,x,o,x,x,positive
948,o,o,o,x,x,b,x,o,x,negative
949,b,o,x,x,o,b,b,o,x,negative
950,o,b,x,o,x,b,o,x,b,negative
951,x,b,b,b,x,b,o,o,x,positive
952,x,x,x,x,o,o,b,b,o,positive
953,x,o,o,x,b,b,x,o,x,positive
954,o,b,x,x,o,o,x,x,o,negative
955,x,x,o,o,x,o,b,b,x,positive
956,o,x,o,x,o,b,x,x,o,negative
957,o,b,x,o,b,x,o,x,b,negative
